idle_CPU_usage,peak_CPU_usage,avg_throughput_TPS,peak_throughput_TPS,RAM_size_GB
-0.0,0.45,2.946,307.4,0.7
0.03,0.48,19.899,305.74,1.7
0.01,0.51,19.712,151.28,0.8
0.32,0.89,0.67,113.69,1.5
0.0,0.91,5.406,124.27,1.8
-0.01,0.92,14.149,116.66,1.2
0.3,0.93,13.054,302.65,1.5
0.25,0.51,4.221,294.69,0.8
0.31,0.52,12.739,120.83,0.9
0.01,0.48,3.418,305.51,0.8
-0.03,0.95,6.544,301.82,0.7
0.28,0.96,9.099,111.7,0.7
0.31,0.47,8.341,102.63,1.6
0.02,0.43,15.037,117.19,0.8
0.01,0.63,7.83,297.73,1.0
0.31,0.85,10.473,288.14,0.9
-0.01,0.53,11.531,108.71,1.1
0.01,0.93,14.076,116.14,1.6
0.32,0.96,16.582,309.63,1.9
0.26,0.97,12.196,309.48,1.5
-0.01,0.64,11.618,115.25,1.3
-0.03,0.94,19.759,296.64,1.3
-0.03,0.51,3.499,108.21,1.0
0.29,0.51,12.331,284.23,0.9
0.0,0.42,9.3,110.51,1.1
0.3,0.48,12.82,301.84,0.5
0.02,0.86,11.37,128.05,1.2
0.01,0.44,9.558,117.68,1.4
0.33,0.97,18.67,110.87,1.0
0.31,0.99,9.112,314.8,1.3
0.31,0.51,8.185,122.07,0.9
0.35,0.58,19.199,288.57,1.6
-0.01,0.59,10.008,111.16,1.5
0.26,0.59,19.723,315.52,1.7
0.29,0.51,17.983,103.57,0.9
0.3,0.56,5.203,120.25,1.5
0.31,0.86,4.978,295.23,1.7
0.03,0.96,16.792,111.34,1.6
0.09,0.89,19.36,297.42,0.7
-0.02,0.42,3.939,112.82,1.8
0.27,0.53,3.792,285.85,0.6
0.24,0.87,19.687,305.57,1.3
0.01,0.47,7.891,135.06,1.7
0.03,0.55,14.354,302.86,1.8
0.01,0.88,18.097,314.0,1.6
0.04,0.84,13.068,311.23,1.4
-0.01,0.96,15.329,113.69,0.6
-0.05,0.91,12.144,265.53,1.5
0.3,0.89,8.349,305.43,0.7
-0.02,0.92,1.493,103.41,0.8
0.24,0.46,14.514,288.74,0.6
0.01,0.54,7.237,296.57,0.7
0.3,0.85,9.878,112.91,0.5
-0.01,0.95,15.707,112.98,1.5
0.34,0.92,10.48,314.09,0.9
-0.03,0.89,13.544,103.7,0.5
0.0,0.89,16.33,287.7,1.0
0.27,0.89,6.173,116.97,1.1
0.04,0.52,8.716,301.55,0.9
-0.01,0.93,12.706,313.4,0.8
0.0,0.8,12.994,300.91,1.4
0.28,0.92,7.505,294.62,0.9
0.35,0.47,6.693,106.64,1.9
-0.03,0.97,13.382,307.6,0.8
-0.06,0.56,3.995,308.27,1.6
0.3,0.94,0.494,290.36,0.8
0.06,0.85,2.671,274.34,1.0
0.26,0.89,1.965,303.76,1.2
0.29,0.79,10.776,112.09,1.7
0.05,0.43,15.672,101.94,1.7
0.34,0.4,9.887,289.13,1.3
-0.02,0.5,18.443,319.4,1.5
0.01,0.89,18.669,301.26,1.2
